"Points:0","Points:1","Points:2"
2.3922,-0.0023431,0
2.3922,-0.0067848,0
2.3922,-0.011226,0
2.3922,-0.01357,0
2.3922,0,0
2.3922,-0.0023431,0
2.3922,-0.0067848,0
2.3922,-0.011226,0
2.3922,-0.01357,0
2.4043,0,0
2.4043,-0.0023431,0
2.4043,-0.0067848,0
2.4043,-0.011226,0
2.4043,-0.01357,0
2.4274,0,0
2.4274,-0.0023431,0
2.4274,-0.0067848,0
2.4274,-0.011226,0
2.4274,-0.01357,0
2.4504,0,0
2.4504,-0.0023431,0
2.4504,-0.0067848,0
2.4504,-0.011226,0
2.4504,-0.01357,0
2.4625,0,0
2.4625,-0.0023431,0
2.4625,-0.0067848,0
2.4625,-0.011226,0
2.4625,-0.01357,0
2.4625,0,0
2.4625,-0.0023431,0
2.4625,-0.0067848,0
2.4625,-0.011226,0
2.4625,-0.01357,0
2.4747,0,0
2.4747,-0.0023431,0
2.4747,-0.0067848,0
2.4747,-0.011226,0
2.4747,-0.01357,0
2.4977,0,0
2.4977,-0.0023431,0
2.4977,-0.0067848,0
2.4977,-0.011226,0
2.4977,-0.01357,0
2.5207,0,0
2.5207,-0.0023431,0
2.5207,-0.0067848,0
2.5207,-0.011226,0
2.5207,-0.01357,0
2.5329,0,0
2.5329,-0.0023431,0
2.5329,-0.0067848,0
2.5329,-0.011226,0
2.5329,-0.01357,0
2.5329,0,0
2.5329,-0.0023431,0
2.5329,-0.0067848,0
2.5329,-0.011226,0
2.5329,-0.01357,0
2.545,0,0
2.545,-0.0023431,0
2.545,-0.0067848,0
2.545,-0.011226,0
2.545,-0.01357,0
2.5681,0,0
2.5681,-0.0023431,0
2.5681,-0.0067848,0
2.5681,-0.011226,0
2.5681,-0.01357,0
2.5911,0,0
2.5911,-0.0023431,0
2.5911,-0.0067848,0
2.5911,-0.011226,0
2.5911,-0.01357,0
2.6032,0,0
2.6032,-0.0023431,0
2.6032,-0.0067848,0
2.6032,-0.011226,0
2.6032,-0.01357,0
2.6032,0,0
2.6032,-0.0023431,0
2.6032,-0.0067848,0
2.6032,-0.011226,0
2.6032,-0.01357,0
2.6154,0,0
2.6154,-0.0023431,0
2.6154,-0.0067848,0
2.6154,-0.011226,0
2.6154,-0.01357,0
2.6384,0,0
2.6384,-0.0023431,0
2.6384,-0.0067848,0
2.6384,-0.011226,0
2.6384,-0.01357,0
2.6615,0,0
2.6615,-0.0023431,0
2.6615,-0.0067848,0
2.6615,-0.011226,0
2.6615,-0.01357,0
2.6736,0,0
2.6736,-0.0023431,0
2.6736,-0.0067848,0
2.6736,-0.011226,0
2.6736,-0.01357,0
2.6736,0,0
2.6736,-0.0023431,0
2.6736,-0.0067848,0
2.6736,-0.011226,0
2.6736,-0.01357,0
2.6858,0,0
2.6858,-0.0023431,0
2.6858,-0.0067848,0
2.6858,-0.011226,0
2.6858,-0.01357,0
2.7088,0,0
2.7088,-0.0023431,0
2.7088,-0.0067848,0
2.7088,-0.011226,0
2.7088,-0.01357,0
2.7318,0,0
2.7318,-0.0023431,0
2.7318,-0.0067848,0
2.7318,-0.011226,0
2.7318,-0.01357,0
2.744,0,0
2.744,-0.0023431,0
2.744,-0.0067848,0
2.744,-0.011226,0
2.744,-0.01357,0
2.744,0,0
2.744,-0.0023431,0
2.744,-0.0067848,0
2.744,-0.011226,0
2.744,-0.01357,0
2.7561,0,0
2.7561,-0.0023431,0
2.7561,-0.0067848,0
2.7561,-0.011226,0
2.7561,-0.01357,0
2.7791,0,0
2.7791,-0.0023431,0
2.7791,-0.0067848,0
2.7791,-0.011226,0
2.7791,-0.01357,0
2.8022,0,0
2.8022,-0.0023431,0
2.8022,-0.0067848,0
2.8022,-0.011226,0
2.8022,-0.01357,0
2.8143,0,0
2.8143,-0.0023431,0
2.8143,-0.0067848,0
2.8143,-0.011226,0
2.8143,-0.01357,0
2.8143,0,0
2.8143,-0.0023431,0
2.8143,-0.0067848,0
2.8143,-0.011226,0
2.8143,-0.01357,0
2.8265,0,0
2.8265,-0.0023431,0
2.8265,-0.0067848,0
2.8265,-0.011226,0
2.8265,-0.01357,0
2.8495,0,0
2.8495,-0.0023431,0
2.8495,-0.0067848,0
2.8495,-0.011226,0
2.8495,-0.01357,0
2.8725,0,0
2.8725,-0.0023431,0
2.8725,-0.0067848,0
2.8725,-0.011226,0
2.8725,-0.01357,0
2.8847,0,0
2.8847,-0.0023431,0
2.8847,-0.0067848,0
2.8847,-0.011226,0
2.8847,-0.01357,0
2.8847,0,0
2.8847,-0.0023431,0
2.8847,-0.0067848,0
2.8847,-0.011226,0
2.8847,-0.01357,0
2.8968,0,0
2.8968,-0.0023431,0
2.8968,-0.0067848,0
2.8968,-0.011226,0
2.8968,-0.01357,0
2.9199,0,0
2.9199,-0.0023431,0
2.9199,-0.0067848,0
2.9199,-0.011226,0
2.9199,-0.01357,0
2.9429,0,0
2.9429,-0.0023431,0
2.9429,-0.0067848,0
2.9429,-0.011226,0
2.9429,-0.01357,0
2.955,0,0
2.955,-0.0023431,0
2.955,-0.0067848,0
2.955,-0.011226,0
2.955,-0.01357,0
2.955,0,0
2.955,-0.0023431,0
2.955,-0.0067848,0
2.955,-0.011226,0
2.955,-0.01357,0
2.9672,0,0
2.9672,-0.0023431,0
2.9672,-0.0067848,0
2.9672,-0.011226,0
2.9672,-0.01357,0
2.9902,0,0
2.9902,-0.0023431,0
2.9902,-0.0067848,0
2.9902,-0.011226,0
2.9902,-0.01357,0
3.0132,0,0
3.0132,-0.0023431,0
3.0132,-0.0067848,0
3.0132,-0.011226,0
3.0132,-0.01357,0
3.0254,0,0
3.0254,-0.0023431,0
3.0254,-0.0067848,0
3.0254,-0.011226,0
3.0254,-0.01357,0
3.0254,0,0
3.0254,-0.0023431,0
3.0254,-0.0067848,0
3.0254,-0.011226,0
3.0254,-0.01357,0
3.0375,0,0
3.0375,-0.0023431,0
3.0375,-0.0067848,0
3.0375,-0.011226,0
3.0375,-0.01357,0
3.0606,0,0
3.0606,-0.0023431,0
3.0606,-0.0067848,0
3.0606,-0.011226,0
3.0606,-0.01357,0
3.0836,0,0
3.0836,-0.0023431,0
3.0836,-0.0067848,0
3.0836,-0.011226,0
3.0836,-0.01357,0
3.0958,0,0
3.0958,-0.0023431,0
3.0958,-0.0067848,0
3.0958,-0.011226,0
3.0958,-0.01357,0
3.0958,0,0
3.0958,-0.0023431,0
3.0958,-0.0067848,0
3.0958,-0.011226,0
3.0958,-0.01357,0
3.1079,0,0
3.1079,-0.0023431,0
3.1079,-0.0067848,0
3.1079,-0.011226,0
3.1079,-0.01357,0
3.1309,0,0
3.1309,-0.0023431,0
3.1309,-0.0067848,0
